year,period,bb_narrow_pct,cs_narrow_pct,bb_lower_95,bb_upper_95,cs_lower_95,cs_upper_95
2025,2025-H2,22.66153364740004,35.80522316289207,21.65907824574852,23.663989049051562,34.22134362828267,37.38910269750147
2026,2026-H2,23.584600942200126,37.2636694886762,21.848297254217826,25.320904630182426,34.520309661664164,40.007029315688236
2027,2027-H2,24.50766823700021,38.72211581446033,22.266109814495554,26.749226659504867,35.18045350690298,42.26377812201769
2028,2028-H2,25.430735531800295,40.18056214024447,22.778487838597,28.082983225003588,35.99001078498326,44.37111349550567
2029,2029-H2,26.35380282660038,41.6390084660286,23.346436621645815,29.361169031554944,36.88736986220039,46.39064706985681
2030,2030-H2,27.276870121400464,43.09745479181274,23.952101685057347,30.60163855774358,37.84432066239061,48.35058892123486
2031,2031-H2,28.199937416200548,44.55590111759687,24.58553306418014,31.814341768220956,38.84514224140462,50.26665999378911
2032,2032-H2,29.123004711000625,46.01434744338099,25.240511635088616,33.005497786912635,39.880008383440014,52.14868650332197
2033,2033-H2,30.04607200580071,47.47279376916512,25.91284249982051,34.179301511780906,40.94229114971641,54.00329638861383
2034,2034-H2,30.969139300600794,48.93124009494926,26.599537509395336,35.338741091806256,42.027269264844634,55.835210925053886
2035,2035-H2,31.89220659540088,50.38968642073339,27.298378836515422,36.48603435428633,43.13143856169437,57.64793427977241
2036,2036-H2,32.81527389020096,51.84813274651752,28.007666674245485,37.62288110615644,44.25211334530787,59.44415214772718
2037,2037-H2,33.73834118500105,53.30657907230166,28.72606417674344,38.75061819325865,45.38718139925464,61.225976745348675
2038,2038-H2,34.66140847980113,54.76502539808579,29.45249741585423,39.87031954374804,46.53494591704968,62.995104879121904
2039,2039-H2,35.584475774601216,56.22347172386993,30.18608822490556,40.98286332429687,47.694019395350786,64.75292405238906
2040,2040-H2,36.5075430694013,57.68191804965406,30.9261076087595,42.0889785300431,48.86325002184002,66.5005860774681
2041,2041-H2,37.430610364201385,59.14036437543819,31.67194250905378,43.18927821934899,50.04166916430497,67.0
2042,2042-H2,38.35367765900147,60.59881070122233,32.4230715238319,44.28428379417104,51.22845300765441,67.0
2043,2043-H2,39.276744953801554,62.05725702700646,33.17904679834063,45.37444310926248,52.4228939413782,67.0
2044,2044-H2,40.19981224860164,63.515703352790595,33.93948027180423,46.46014422539905,53.624378829450684,67.0
2045,2045-H2,41.12287954340172,64.97414967857472,34.704033064141385,47.54172602266206,54.83237224134339,67.0
2046,2046-H2,42.04594683820181,66.43259600435886,35.472407168517485,48.61948650788613,56.046403326257625,67.0
2047,2047-H2,42.96901413300189,67.0,36.244338865487926,49.69368940051586,57.26605540747092,67.0
2048,2048-H2,43.892081427801976,67.0,37.01959344177285,50.764569413831104,58.490957638001106,67.0
2049,2049-H2,44.81514872260206,67.0,37.797960911041415,51.83233653416271,59.72077823944544,67.0
2050,2050-H2,45.738216017402145,67.0,38.57925251370163,52.89717952110266,60.955218971648584,67.0
