year,pop_65plus,total_pop,source,variable
2007,38200000,,Extrapolated from 2008 ACL anchor (0.7M/yr back),
2008,38900000,,ACL Profile of Older Americans 2009,
2009,39600000,,Interpolated 2008-2010,
2010,40300000,,Census 2020 Report,
2011,41441725,311591919,Census API ACS 1yr S0101_C01_001E x 13.3%,S0101_C01_028E pct
2012,43006224,313914040,Census API ACS 1yr S0101_C01_001E x 13.7%,S0101_C01_028E pct
2013,44574166,316128839,Census API ACS 1yr S0101_C01_001E x 14.1%,S0101_C01_028E pct
2014,46234273,318857056,Census API ACS 1yr S0101_C01_001E x 14.5%,S0101_C01_028E pct
2015,47891404,321418821,Census API ACS 1yr S0101_C01_001E x 14.9%,S0101_C01_028E pct
2016,49115383,323127515,Census API ACS 1yr S0101_C01_001E x 15.2%,S0101_C01_028E pct
2017,50815712,325719178,Census API ACS 1yr direct count,S0101_C01_030E
2018,52423114,327167439,Census API ACS 1yr direct count,S0101_C01_030E
2019,54074028,328239523,Census API ACS 1yr direct count,S0101_C01_030E
2020,54983021,,Interpolated 2019-2021 (no ACS 1yr due to COVID),
2021,55892014,331893745,Census API ACS 1yr direct count,S0101_C01_030E
2022,57822315,333287562,Census API ACS 1yr direct count,S0101_C01_030E
2023,59307056,334914896,Census API ACS 1yr direct count,S0101_C01_030E
2024,61245283,340110990,Census ACS 2024 Selected Age Categories,65 years and over
