year,net_buybacks_B,gross_repurchases_B,gross_issuance_B,mktcap_B,net_yield_pct,gross_yield_pct
2005,252.36,273.59000000000003,250.26999999999998,11500.0,2.194434782608696,2.37904347826087
2006,419.45,363.83,353.06,13100.0,3.201908396946565,2.777328244274809
2007,536.28,433.4,487.14,13400.0,4.002089552238806,3.234328358208955
2008,428.09,297.53,218.46,8100.0,5.285061728395061,3.6732098765432095
2009,136.73,102.83,170.56,10900.0,1.2544036697247705,0.943394495412844
2010,208.91,220.32,219.91000000000003,12900.0,1.6194573643410852,1.707906976744186
2011,378.04999999999995,311.42,239.07,12600.0,3.000396825396825,2.4715873015873018
2012,313.34,301.18,270.21000000000004,13400.0,2.3383582089552237,2.2476119402985075
2013,317.34000000000003,380.34,319.28999999999996,16500.0,1.9232727272727277,2.305090909090909
2014,335.93,441.31,367.52,18200.0,1.8457692307692306,2.4247802197802195
2015,525.65,445.42,397.94,18500.0,2.841351351351351,2.407675675675676
2016,478.05,390.53999999999996,461.75,19700.0,2.4266497461928935,1.98243654822335
2017,374.58000000000004,350.9,416.18,23500.0,1.5939574468085107,1.493191489361702
2018,621.21,570.36,444.03999999999996,21100.0,2.9441232227488157,2.703127962085308
2019,360.37,479.81,522.66,26800.0,1.3446641791044778,1.7903358208955222
2020,95.82,427.89,638.5799999999999,33400.0,0.28688622754491017,1.2811077844311376
2021,155.78,626.47,1008.54,40400.0,0.3855940594059406,1.5506683168316833
2022,626.33,775.74,639.22,32100.0,1.951183800623053,2.4166355140186915
2023,608.0,658.46,512.0,40400.0,1.504950495049505,1.629851485148515
2024,396.07,728.14,661.48,50500.0,0.7842970297029702,1.4418613861386138
