YEAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2025,3701128,3701833,3700515,3748004,3654176,3757170,3805051,3890498,3965699,4065867,4099109,4085295,4069897,4075725,4120576,4209056,4305921,4481100,4488597,4431813,4407076,4450119,4424267,4570676,4859993,4806670,4633099,4548065,4497334,4498347,4559623,4635409,4692869,4782886,4838184,4840937,4694732,4599765,4535360,4531246,4518350,4415588,4471407,4458558,4391711,4368419,4185965,4085871,4026477,3882852,3918360,3837427,3880185,4059192,4291987,4220323,4056639,3962648,3967392,4014374,4156734,4241358,4229145,4229212,4205428,4115212,4020705,3968857,3879522,3688425,3583791,3437132,3272601,3127753,2955197,2794068,2690835,2599997,2698993,1884389,1774860,1688414,1661875,1383960,1204165,1065452,952913,854813,729728,640772,569128,462499,397722,332251,272372,218545,166092,127837,93900,65589,106600
2026,3724869,3726265,3725999,3722771,3767688,3673875,3776566,3824040,3909188,3984216,4083771,4116394,4102153,4086818,4094114,4142164,4235250,4337765,4516734,4527804,4473313,4449883,4494053,4470312,4618545,4909182,4856863,4683343,4597016,4544578,4543071,4600781,4673007,4727017,4813675,4865432,4864039,4714189,4616191,4548978,4542362,4527178,4422960,4477224,4463233,4395051,4369325,4184983,4082432,4020692,3875514,3909164,3827534,3868937,4045903,4275884,4203153,4038876,3943563,3946304,3990551,4129035,4209745,4194395,4191060,4163708,4070685,3973555,3918358,3825882,3633063,3524601,3374704,3207122,3059164,2883598,2719428,2611259,2514525,2599685,1807959,1693816,1601659,1565975,1294940,1118033,981300,869880,772710,652590,566243,496547,397891,336935,276861,222897,175381,130550,98276,70501,110918
2027,3748012,3750233,3750636,3748444,3743854,3786807,3692941,3795322,3842646,3927653,4002111,4101197,4133236,4119203,4105286,4115856,4168709,4267481,4373829,4556326,4569274,4516173,4494030,4540058,4518507,4668290,4959147,4906697,4732293,4644061,4589377,4584522,4638598,4707620,4758254,4841405,4888847,4883302,4730606,4629873,4560499,4551464,4534606,4429376,4482263,4466611,4396336,4367686,4181367,4076601,4012978,3866766,3899030,3816907,3857068,4031656,4258627,4184526,4019605,3922948,3923456,3964798,4098962,4175466,4156847,4149941,4118930,4023132,3923258,3864347,3768313,3573368,3460740,3307452,3136807,2985530,2806853,2639321,2525948,2422982,2493368,1725890,1607210,1509778,1465478,1202689,1030076,896188,786690,691356,577048,494252,427446,337348,280975,226758,179063,137969,100466,73866,116799
2028,3770101,3773600,3774805,3773263,3769698,3764116,3805443,3711466,3813799,3861097,3945564,4019514,4118116,4150265,4137734,4127140,4142576,4201338,4303941,4413909,4598087,4612140,4560276,4540240,4588248,4568542,4718783,5008841,4955167,4779270,4688675,4630798,4622574,4673414,4739232,4786400,4865103,4908377,4899424,4744252,4641380,4569949,4559180,4541037,4434966,4485973,4467913,4395052,4363323,4175305,4068806,4003799,3857050,3888168,3805609,3844282,4016314,4239907,4164361,3998780,3900595,3898680,3936706,4066250,4138369,4116306,4105768,4071038,3972423,3869416,3806400,3706276,3508979,3391970,3235230,3061403,2906503,2724506,2553451,2434550,2324820,2379525,1638173,1515490,1413454,1361369,1108459,941103,810887,704202,611646,504009,425693,362650,281560,230325,182329,141022,106272,75593,122855
2029,3790919,3795912,3798376,3797622,3794694,3790116,3783682,3823660,3729776,3832230,3878860,3962975,4036454,4135177,4168803,4159649,4154016,4175415,4238251,4344428,4456193,4641150,4656291,4606454,4588630,4638363,4619334,4768967,5057283,5001671,4823690,4729936,4668808,4657563,4705219,4767691,4810544,4884888,4924707,4912737,4755704,4650809,4577963,4565916,4546609,4439218,4487579,4466616,4391044,4356501,4167290,4059562,3993670,3846628,3876666,3793401,3830440,3999577,4219675,4142625,3976173,3876338,3871596,3906019,4030751,4098317,4072747,4058482,4019985,3918184,3811657,3744046,3639417,3439629,3318133,3157786,2980623,2821697,2636277,2461494,2336510,2219580,2258131,1545222,1419306,1313630,1255032,1013097,851899,726273,623341,534544,434398,361378,302892,231014,185369,143734,108749,80052,127913
2030,3810429,3816952,3820888,3821379,3819219,3815268,3809828,3802662,3841746,3748149,3850006,3896196,3979901,4053594,4153771,4190766,4186595,4187037,4212531,4279183,4387114,4499812,4685477,4702515,4654845,4638949,4689259,4669783,4817848,5103736,5045601,4864662,4767720,4703728,4689496,4733794,4792040,4830692,4901420,4938174,4923803,4765041,4658767,4584927,4571758,4550791,4441335,4486525,4462511,4384503,4347656,4157779,4049328,3982775,3835566,3864228,3780129,3815216,3981330,4197839,4119047,3951577,3849706,3841910,3872529,3992273,4055210,4026106,4007996,3965380,3859981,3749484,3676897,3567486,3365120,3238966,3074791,2894010,2730793,2541820,2362856,2231347,2107255,2129706,1447702,1319584,1211607,1147412,917442,763370,643282,545084,461004,369040,302032,248715,186099,146273,110960,82007,134236
2031,3828419,3836686,3842128,3844074,3843140,3839949,3835120,3828942,3821329,3860041,3765817,3867319,3913084,3997003,4072217,4175762,4217739,4219673,4224319,4253666,4322232,4431084,4544691,4731900,4750970,4705191,4690046,4739821,4718949,4864803,5147610,5086114,4902167,4802395,4735532,4718154,4758223,4812282,4847473,4914992,4949326,4932690,4772843,4665646,4590944,4576135,4552762,4440736,4482597,4455772,4375834,4337241,4147196,4038276,3971126,3823527,3850651,3765426,3798479,3961491,4174065,4093369,3924535,3820392,3809424,3836060,3950704,4008986,3976284,3953892,3906770,3797245,3682495,3604615,3490323,3285202,3154135,2985781,2801184,2633395,2440448,2257043,2119079,1988342,1995115,1346526,1217625,1108297,1039457,822459,676488,562892,470399,391910,308671,248180,200532,146996,113034,83771,139616
2032,3844418,3854896,3862059,3865496,3866001,3864019,3859941,3854363,3847738,3839734,3877626,3783070,3884166,3930160,4015601,4094212,4202743,4250823,4257004,4265563,4296926,4366515,4476306,4591636,4780579,4801391,4756323,4740718,4788989,4766143,4909199,5187971,5123129,4936508,4833925,4763995,4742574,4778518,4829071,4861208,4926191,4958222,4940019,4779515,4671552,4595453,4578227,4551933,4437200,4475962,4446845,4365518,4325713,4135733,4026425,3958421,3810304,3835579,3749163,3780129,3939747,4148103,4065109,3894709,3788199,3773942,3796524,3905988,3959558,3922827,3895683,3843544,3729556,3610323,3526963,3407600,3199505,3063146,2890361,2701724,2528787,2331635,2144065,2000168,1863614,1855608,1242995,1114316,1004574,932235,729201,592279,486110,400170,328044,253843,200253,158543,113710,85431,144231
2033,3858017,3871117,3880465,3885605,3887590,3887033,3884148,3879314,3873279,3866259,3857677,3894793,3799903,3901245,3948801,4037679,4121327,4235996,4288343,4298500,4309112,4341606,4412216,4523771,4641001,4831449,4852867,4807350,4790292,4836471,4811099,4950449,5225171,5157344,4968067,4862469,4788574,4763181,4795706,4843150,4872882,4935435,4965806,4946472,4785407,4676121,4597833,4577672,4548313,4431170,4467343,4436500,4354313,4313553,4123723,4013789,3944785,3795890,3819241,3731622,3760261,3916230,4119847,4034311,3862282,3753325,3735743,3754274,3858485,3906909,3865723,3833285,3775749,3657073,3533204,3444080,3319285,3107896,2965908,2788388,2595108,2416679,2215625,2024511,1875513,1734320,1713042,1138101,1010595,901534,826967,638799,511822,413870,335220,270007,205006,158463,122777,86038,148274
2034,3869196,3884933,3896881,3904186,3907860,3908771,3907296,3903649,3898349,3891915,3884313,3875153,3911568,3816979,3919908,3970956,4064916,4154757,4273722,4330047,4342301,4354089,4387719,4460170,4573664,4692557,4883376,4904231,4857263,4838153,4881691,4852885,4988506,5259553,5188757,4996616,4887103,4809306,4780652,4810166,4855147,4882586,4943359,4972509,4952136,4789939,4678533,4597551,4574307,4542169,4423161,4457314,4425262,4342478,4300855,4110921,4000216,3929929,3780237,3801617,3712594,3738705,3890524,4089016,4000827,3827129,3715748,3694861,3709334,3807840,3850638,3804474,3766340,3703099,3579586,3450849,3355544,3224846,3009937,2861950,2679017,2480777,2297107,2092819,1899112,1746205,1602077,1568630,1032718,907483,800278,724872,552366,436072,346992,276145,218263,162384,122827,92998,151244
