YEAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2025,3602023,3619204,3636209,3701415,3609032,3713504,3763046,3850287,3927239,4028977,4063638,4051162,4036959,4043439,4087548,4172911,4263708,4429946,4426600,4359133,4325780,4362775,4332318,4474556,4759882,4702956,4526671,4440213,4389600,4392068,4455915,4535510,4597624,4692765,4753079,4760742,4619650,4529965,4470620,4470911,4461880,4362861,4422358,4412869,4348793,4327829,4147564,4049689,3992521,3850936,3888203,3808794,3852844,4032962,4266644,4195730,4032736,3939350,3944514,3991641,4133890,4218309,4205889,4205883,4182260,4092498,3998778,3947934,3859696,3669714,3566258,3420884,3257686,3114140,2942727,2782562,2680215,2590283,2690239,1876631,1768118,1682686,1657077,1379935,1200740,1062500,950375,852644,727915,639298,567981,461637,397093,331786,272022,218277,165898,127706,93812,65529,106474
2026,3593682,3611135,3628963,3645297,3708052,3615915,3720447,3769928,3857185,3934284,4035745,4070144,4057524,4043258,4050238,4095486,4182415,4275115,4441341,4438978,4372450,4339379,4376198,4346483,4489276,4774784,4718332,4542108,4454827,4403362,4404453,4466410,4544106,4604347,4697651,4756000,4761355,4618353,4527039,4466063,4465000,4454919,4355526,4414284,4404308,4339559,4316928,4135563,4035957,3977062,3834417,3870287,3790531,3833505,4011810,4242903,4171165,4007758,3913107,3916248,3960581,4098927,4179444,4163990,4160803,4133915,4041754,3945816,3891997,3801008,3609729,3502905,3354705,3188810,3042423,2868217,2705274,2598299,2502765,2589185,1798761,1685917,1594985,1560367,1290213,1114007,977855,866943,770240,650573,564647,495331,396992,336279,276373,222538,175118,130365,98155,70420,110755
2027,3585294,3602922,3620991,3638142,3654007,3714886,3622932,3727411,3776973,3864344,3941163,4042482,4076556,4064014,4050191,4058378,4105390,4194267,4287036,4454284,4452571,4386552,4353577,4390923,4362112,4505286,4790469,4733892,4557258,4468936,4416365,4415771,4475729,4551763,4610122,4701472,4757331,4760260,4615801,4522905,4460880,4458588,4447874,4348247,4406252,4395263,4329181,4304433,4121836,4020650,3960369,3817146,3851970,3771996,3813951,3990100,4218429,4145514,3981528,3885529,3886383,3927801,4061854,4138293,4119821,4113392,4083278,3988765,3890472,3833339,3739212,3546259,3435672,3284419,3115713,2966199,2789123,2623104,2511205,2409722,2481659,1715749,1598562,1502472,1459322,1197493,1025673,892448,783549,688770,574989,492660,426254,336472,280336,226292,178729,137732,100305,73762,116597
2028,3576622,3594657,3612874,3630256,3646934,3662491,3721867,3629966,3734557,3784288,3871367,3947973,4049047,4083091,4071072,4058506,4068514,4117702,4206647,4300580,4468359,4466970,4401103,4368988,4407046,4378903,4521976,4806376,4749057,4571807,4482268,4428165,4425819,4484059,4558361,4614793,4703511,4756919,4757817,4612014,4518061,4455124,4452080,4440820,4340946,4397703,4385067,4317212,4290151,4106505,4004091,3942880,3799448,3833389,3753193,3793880,3967725,4192873,4118596,3953955,3856388,3854814,3892953,4022535,4094859,4073299,4063689,4030307,3933384,3832367,3771551,3673783,3478871,3364231,3209766,3038045,2885127,2704992,2535709,2418554,2310586,2367097,1627485,1506392,1405765,1354891,1103014,936518,807044,701037,609101,502029,424190,361535,280745,229740,181914,140733,106073,75459,122615
2029,3567640,3586110,3604707,3622228,3639128,3655487,3670780,3728886,3637170,3742022,3791294,3878283,3954639,4055683,4090224,4079513,4068866,4081101,4130604,4220672,4315291,4483137,4481819,4416809,4385706,4424335,4396312,4538795,4821956,4763598,4585430,4494403,4438657,4434797,4491307,4563788,4617724,4703791,4755117,4754108,4607492,4512619,4449195,4445561,4433698,4333118,4387993,4373278,4303492,4274276,4089956,3986764,3924987,3781514,3814579,3733889,3773192,3944348,4166093,4090324,3924782,3825568,3821214,3855904,3980969,4049116,4024524,4011660,3974944,3875254,3771146,3706185,3604296,3407207,3288310,3130386,2955529,2798822,2615499,2442743,2319766,2204842,2245363,1534277,1410001,1305776,1248443,1007591,847317,722501,620302,532154,432572,360011,301889,230289,184861,143384,108511,79890,127630
2030,3558485,3577251,3596258,3614149,3631177,3647760,3663841,3678830,3736074,3644746,3749169,3798237,3885018,3961434,4062945,4098787,4090023,4081714,4094284,4145151,4235866,4330730,4498314,4497771,4433788,4403518,4442206,4413770,4555207,4836869,4777174,4597734,4505136,4448027,4442623,4497299,4567373,4618827,4702641,4751994,4749596,4602312,4506939,4443158,4438924,4425999,4324115,4376657,4359687,4288136,4257138,4072600,3968999,3906797,3763349,3795244,3713971,3751534,3919760,4137937,4060402,3893853,3792658,3785415,3816606,3937073,4001091,3973459,3957198,3916803,3813955,3706332,3636773,3530412,3330953,3207533,3045963,2867705,2706921,2520277,2343584,2214316,2092383,2116873,1436731,1310278,1203792,1140894,912054,758961,639724,542277,458841,367409,300824,247839,185482,145852,110675,81818,133904
2031,3549065,3568215,3587494,3605786,3623173,3639879,3656178,3671952,3686795,3743730,3651912,3756194,3805026,3891854,3968805,4071617,4109409,4103021,4095153,4109126,4160794,4251736,4346539,4514575,4514961,4451829,4421854,4460087,4430809,4570989,4850791,4789445,4608625,4514704,4456167,4449144,4501423,4569035,4618398,4700077,4747988,4744342,4596801,4501090,4436929,4431627,4417060,4313460,4363489,4344387,4271430,4239130,4054730,3950887,3888268,3744628,3775230,3693042,3728672,3893820,4108043,4028622,3860771,3757476,3747372,3774980,3890863,3950739,3919980,3899892,3855447,3748939,3637440,3562888,3451841,3249751,3121581,2956032,2774153,2609013,2418619,2237703,2102120,1973602,1982437,1335724,1208515,1100696,1033184,817354,672385,559649,467887,390001,307251,247147,199801,146494,112700,83547,139242
2032,3539013,3558919,3578552,3597109,3614890,3631945,3648360,3664347,3679976,3694698,3750933,3658978,3763029,3811925,3899285,3977571,4082342,4122512,4116608,4110206,4125071,4177052,4267946,4363368,4532056,4533180,4470361,4440077,4477416,4447155,4585785,4863290,4800248,4618270,4522997,4462930,4453711,4503607,4569094,4616472,4696560,4743143,4738705,4591042,4495007,4429998,4423041,4406419,4300949,4348570,4327700,4253793,4220573,4036455,3932391,3869108,3725190,3754154,3670878,3704451,3866187,4076214,3994561,3825324,3719977,3706995,3731071,3842301,3897955,3863638,3839269,3790278,3679695,3564011,3484165,3368152,3163235,3029958,2860159,2674432,2504354,2309955,2124999,1983531,1849215,1843274,1232553,1105574,997355,926360,724503,588576,483238,397979,326401,252642,199402,157955,113315,85172,143805
2033,3527924,3548982,3569352,3588252,3606291,3623731,3640488,3656588,3672421,3687929,3702387,3758011,3665872,3769989,3819452,3908170,3988455,4095629,4136294,4131905,4126431,4141700,4193696,4285236,4381462,4550652,4552000,4488905,4457815,4494093,4462589,4599272,4874398,4809904,4626751,4530029,4467873,4456450,4504324,4567785,4613699,4692305,4737972,4732905,4585098,4488279,4421836,4412810,4393970,4286789,4332340,4310167,4235669,4201692,4017876,3913360,3849309,3704818,3731953,3647502,3678726,3836841,4042197,3958189,3787640,3680257,3664479,3685028,3791491,3842477,3804185,3774996,3721000,3606032,3485905,3400400,3279102,3071077,2932355,2758020,2567864,2392498,2194327,2005880,1859330,1720382,1701180,1128135,1002338,894807,821589,634576,508551,411371,333342,268626,204019,157781,122314,85734,147789
2034,3515737,3538014,3559503,3579138,3597508,3615198,3632337,3648777,3664719,3680425,3695665,3709869,3764919,3672889,3777587,3828453,3919208,4001937,4109629,4151806,4148379,4143345,4158719,4211413,4303777,4400656,4569836,4570822,4506958,4474889,4509841,4476695,4611338,4884344,4818383,4633958,4535230,4470979,4457712,4503672,4565612,4610161,4687697,4732616,4726904,4578487,4480302,4412032,4400774,4379857,4271327,4315264,4292135,4217210,4182505,3998747,3893681,3828546,3683347,3708533,3622659,3651381,3805417,4005842,3919499,3747697,3638417,3619864,3636840,3738081,3783921,3741132,3706644,3647249,3527643,3402758,3311219,3184208,2972852,2828331,2648804,2453894,2273415,2072069,1881049,1730599,1588730,1557359,1023349,899824,794141,720054,548646,433233,344857,274569,217131,161594,122295,92645,150690
