YEAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2025,3641659,3652257,3661925,3720050,3627091,3730971,3779855,3866375,3942623,4043734,4077827,4064818,4050139,4056358,4100761,4187375,4280598,4450410,4451394,4388203,4358292,4397707,4369092,4513006,4799921,4744439,4569232,4483351,4432689,4434575,4497393,4575469,4635726,4728814,4787119,4792818,4649679,4557880,4496512,4495049,4484465,4383952,4441984,4431147,4365962,4344069,4162929,4064162,4006104,3863702,3900265,3820245,3863781,4043454,4276780,4205571,4042300,3948674,3953672,4000738,4143031,4227535,4215200,4215221,4191527,4101586,4007544,3956298,3867621,3677198,3573270,3427379,3263648,3119581,2947712,2787163,2684463,2594173,2693746,1879742,1770816,1684977,1658993,1381541,1202109,1063680,951389,853513,728639,639890,568440,461982,397340,331969,272160,218386,165976,127760,93846,65550,106523
2026,3646146,3657183,3667779,3676277,3731905,3639101,3742897,3791585,3877988,3954257,4054959,4088644,4075381,4060687,4067794,4114162,4203555,4300179,4471498,4474503,4412790,4383575,4423332,4396007,4540984,4828534,4773741,4598593,4511700,4459845,4459893,4520153,4595665,4653420,4744060,4799766,4802425,4656681,4562695,4499226,4495947,4483818,4382503,4439467,4427878,4361760,4337895,4155336,4054546,3994512,3850854,3885840,3805329,3847682,4025448,4256095,4183966,4020205,3925293,3928279,3972575,4110975,4191570,4176162,4172913,4145836,4053328,3956905,3902533,3810952,3619061,3511580,3362697,3196132,3049111,2874366,2710936,2603485,2507476,2593392,1802447,1689077,1597653,1562607,1292102,1115616,979233,868115,771229,651381,565286,495817,397352,336538,276566,222680,175226,130440,98205,70453,110819
2027,3650366,3661834,3672842,3682260,3689938,3743653,3650937,3754581,3803254,3889668,3965546,4065973,4099227,4086094,4072236,4081379,4130724,4223558,4321753,4495101,4499244,4438391,4409752,4450571,4424662,4570486,4857930,4803013,4627259,4538982,4485562,4483262,4540872,4614105,4669376,4757446,4809930,4809472,4661715,4565687,4500726,4495739,4482564,4380700,4436663,4423804,4356050,4329742,4145650,4043029,3981408,3836994,3870800,3789958,3831208,4006725,4234510,4161125,3996760,3900500,3901227,3942611,4076704,4153170,4134642,4128017,4097541,4002510,3903578,3845735,3750846,3557103,3445690,3293624,3124148,2973922,2796212,2629595,2517106,2415035,2486349,1719810,1602020,1505394,1461782,1199570,1027431,893944,784804,689808,575814,493298,426733,336822,280589,226476,178861,137828,100371,73804,116676
2028,3653997,3666219,3677635,3687451,3696038,3703134,3755296,3662568,3766260,3815026,3901049,3976593,4076680,4109958,4097745,4085968,4098150,4151162,4245568,4345914,4520250,4525026,4464763,4437484,4479518,4454751,4600695,4887352,4831499,4654778,4564827,4509210,4504511,4559796,4630709,4683437,4768145,4817494,4814457,4664902,4567385,4501052,4494922,4480901,4378557,4433019,4418210,4348354,4319426,4134026,4029976,3967245,3822487,3855307,3774159,3814053,3987164,4211689,4136911,3971888,3874077,3872375,3910467,4040029,4112273,4090511,4080524,4046600,3948998,3847177,3785480,3686773,3490910,3375317,3219943,3047387,2893668,2712799,2542810,2424960,2316287,2372073,1631763,1510028,1408840,1357479,1105190,938350,808580,702304,610121,502820,424792,361983,281070,229972,182078,140846,106154,75513,122710
2029,3656932,3670012,3682160,3692372,3701343,3709338,3715933,3766796,3674213,3778112,3826333,3912164,3987370,4087484,4121655,4111578,4102936,4118837,4173671,4270175,4371653,4546340,4551591,4492658,4466867,4509938,4485512,4630858,4916075,4858825,4680720,4588611,4530709,4523894,4576868,4645348,4694854,4776229,4822947,4817558,4666770,4567890,4500700,4493706,4478856,4375563,4427836,4410618,4338519,4307171,4120888,4015884,3952459,3807560,3839420,3757699,3796105,3966445,4187530,4111254,3945342,3845885,3841382,3875963,4000889,4068807,4043823,4030391,3992961,3892422,3787340,3721319,3618335,3420171,3300229,3141338,2965566,2807965,2623815,2450250,2326467,2210743,2250474,1538656,1413719,1308918,1251075,1009793,849148,724011,621517,533113,433302,360561,302291,230580,185063,143523,108604,79956,127742
2030,3659243,3673112,3686088,3697027,3706381,3714752,3722232,3728360,3778341,3686108,3789510,3837431,3922974,3998303,4099278,4135580,4128662,4123854,4141591,4198769,4296364,4398362,4573177,4579652,4522202,4497683,4541022,4516170,4660259,4943603,4884539,4704488,4610163,4550297,4541362,4591893,4657238,4703574,4782154,4826460,4819276,4667395,4567668,4499865,4492059,4475909,4371010,4420612,4400818,4326689,4293347,4106670,4001131,3937189,3792238,3822849,3740438,3777020,3944396,4161903,4083871,3916950,3815488,3808029,3838989,3959162,4022748,3994526,3977520,3936233,3832361,3723582,3652813,3545232,3344613,3220093,3057487,2878229,2716465,2528901,2351299,2221131,2098337,2122006,1441121,1313997,1206917,1143500,914209,760724,641149,543400,459709,368061,301314,248192,185730,146019,110789,81891,134038
2031,3660785,3675586,3689325,3701081,3711146,3719892,3727740,3734745,3740611,3790254,3697476,3800649,3848259,3933919,4010178,4113278,4152740,4149693,4146828,4166950,4225373,4323475,4425799,4601501,4609348,4553166,4529122,4571977,4546061,4688509,4969507,4908104,4726026,4629771,4567904,4556737,4604140,4666331,4710031,4786045,4828516,4819676,4667211,4566911,4498533,4489432,4471335,4364378,4411139,4388941,4313196,4278377,4091713,3985842,3921415,3776193,3805412,3722004,3756609,3920897,4134458,4054536,3886285,3782656,3772208,3799425,3914810,3974044,3942510,3921492,3875975,3768255,3655449,3579568,3467223,3263925,3134586,2967927,2784965,2618763,2427357,2245442,2108904,1979500,1987507,1340046,1212155,1103737,1035693,819397,674025,560947,468893,390767,307819,247567,200099,146696,112833,83638,139390
2032,3661158,3677286,3691935,3704440,3715314,3724760,3732976,3740341,3747079,3752715,3801610,3708617,3811485,3859229,3945818,4024237,4130504,4173837,4172776,4172358,4193816,4252840,4351288,4454672,4631461,4640448,4584743,4560327,4602041,4574744,4715144,4993151,4929392,4745551,4647355,4583347,4569244,4613567,4673081,4714368,4788416,4829168,4819225,4666428,4565622,4496180,4485119,4464618,4355456,4399533,4375356,4298488,4262630,4076161,3970006,3904838,3759242,3786743,3702203,3734739,3895620,4104979,4022795,3853089,3747280,3733790,3757267,3867782,3922603,3887319,3861834,3811582,3699632,3582522,3501273,3383921,3177736,3043220,2872236,2685351,2514125,2318633,2132630,1990185,1854978,1848206,1236730,1109067,1000242,928712,726380,590055,484389,398857,327062,253123,199747,158197,113474,85275,143974
2033,3659942,3677821,3693771,3707176,3718786,3729031,3737934,3745662,3752757,3759260,3764504,3812722,3719485,3822492,3871207,3959982,4041612,4151774,4197114,4198550,4199510,4221665,4281108,4380649,4485275,4662965,4672334,4616283,4590800,4631039,4601986,4739734,5014696,4948872,4763262,4662992,4596142,4579127,4620874,4677925,4717371,4789562,4829095,4818330,4665215,4563414,4492235,4478758,4455700,4344545,4386345,4360698,4283131,4246438,4060211,3953536,3887506,3741256,3766889,3681165,3711359,3868605,4073270,3988652,3817509,3709500,3693001,3712741,3818292,3868258,3828804,3798313,3742893,3626439,3504809,3417860,3295165,3085801,2945765,2770166,2578765,2402166,2202850,2013335,1865803,1725961,1705921,1132122,1005637,897500,823743,636266,509860,412372,334093,269181,204416,158057,122505,85857,147980
2034,3657101,3676764,3694439,3709131,3721628,3732607,3742296,3750708,3758157,3765013,3771124,3775980,3823574,3730526,3834518,3885471,3977496,4063073,4175263,4223100,4225954,4227650,4250324,4310923,4411730,4517415,4695252,4704177,4647084,4620189,4658573,4627162,4762199,5034419,4966525,4779006,4675964,4606296,4586872,4626267,4681419,4719132,4789967,4828559,4816995,4663061,4559596,4486240,4470188,4444773,4332063,4372083,4345383,4267322,4229847,4043615,3936304,3869110,3722115,3745788,3658649,3686328,3839468,4039127,3952046,3779480,3669363,3649880,3665850,3765984,3810614,3766470,3730519,3669582,3548411,3421978,3328937,3200454,2987686,2841769,2660889,2464648,2282888,2080372,1888275,1736840,1594074,1561865,1027100,902885,796597,721986,550137,434368,345713,275198,217586,161911,122511,92789,150910
2035,3652748,3674083,3693508,3709921,3723697,3735548,3745965,3755149,3763283,3770486,3776948,3782674,3787152,3834604,3742598,3848852,3903117,3999130,4086787,4201489,4250725,4254339,4256602,4280526,4342458,4444347,4550321,4727486,4735263,4676781,4648093,4684024,4650193,4782818,5052296,4982191,4792066,4686273,4614293,4592696,4630293,4683650,4720128,4789888,4827568,4814704,4659277,4553712,4478034,4459613,4432260,4318515,4357172,4329630,4251111,4212606,4026248,3918004,3849526,3701754,3723203,3634510,3659258,3807998,4002481,3912920,3739064,3626927,3604430,3616253,3710468,3749171,3699907,3658115,3591365,3465215,3333638,3233994,3099333,2882925,2730356,2543828,2343030,2156654,1951931,1758527,1604923,1460420,1417255,922691,801888,698699,624662,469002,364434,285037,222650,172511,125624,92888,157676
2036,3646647,3669888,3690961,3709103,3724591,3737711,3748992,3758902,3767800,3775686,3782493,3788566,3793910,3798484,3846677,3757007,3866589,3924915,4023053,4113260,4229355,4279336,4283549,4287115,4312452,4375525,4477726,4583170,4758952,4765230,4704979,4673887,4707309,4671354,4801568,5068165,4995143,4802436,4694403,4620356,4597139,4633035,4685103,4720620,4789346,4825609,4810763,4653407,4545606,4467822,4447457,4418661,4304312,4341813,4313473,4234246,4194570,4007794,3898514,3828697,3679940,3698974,3608363,3629938,3774140,3963278,3871334,3696303,3582194,3556318,3563566,3651257,3683526,3628783,3580837,3507909,3376451,3239274,3132563,2991312,2770616,2610944,2419034,2214267,2024208,1818599,1625733,1471150,1326132,1273491,819990,703814,604981,532921,393786,300717,230834,176697,133988,95354,162196
2037,3638351,3663941,3686894,3706675,3723879,3738700,3751240,3762011,3771631,3780275,3787761,3794177,3799871,3805306,3810862,3861099,3774844,3888507,3949036,4049758,4141384,4258210,4308774,4314323,4319353,4345913,4409359,4511041,4615233,4789278,4793680,4731049,4697502,4728707,4690629,4818298,5081306,5005382,4810609,4700579,4625023,4600286,4634976,4686035,4720635,4787832,4821999,4804709,4645289,4535478,4456028,4434208,4404403,4289660,4326043,4296665,4216583,4175431,3988136,3877775,3806378,3656508,3672710,3579993,3598310,3737839,3921588,3827340,3651206,3534828,3505160,3507326,3587946,3613335,3552827,3498343,3418812,3281590,3138415,3024150,2875433,2650163,2483607,2286857,2079097,1886649,1682060,1490991,1336650,1192497,1132091,720187,609861,516547,447799,325197,243750,183383,137380,101817,166806
2038,3627937,3655802,3681073,3702723,3721555,3738083,3752312,3764338,3774813,3784175,3792417,3799509,3805547,3811336,3817761,3825617,3878959,3796897,3912781,3975962,4078128,4170501,4287905,4339784,4346832,4353131,4380135,4443117,4543564,4646150,4818062,4819982,4754917,4719216,4748198,4707865,4832293,5091707,5013392,4816814,4705350,4628383,4602619,4636384,4686478,4719666,4784666,4816271,4796377,4635132,4523758,4443151,4420299,4389686,4274606,4309618,4279055,4197805,4155052,3967214,3855551,3782411,3631069,3644189,3549337,3564328,3699169,3877467,3780948,3603445,3484452,3450495,3447140,3520210,3538340,3471715,3410225,3323532,3180152,3030557,2907748,2751087,2521681,2348683,2148039,1938625,1745715,1543426,1355419,1202700,1060921,994667,624486,521122,434408,370113,263821,193828,142728,104505,174360
2039,3615564,3645537,3673059,3697019,3717705,3735853,3751781,3765490,3777214,3787422,3796385,3804232,3810940,3817078,3823860,3832614,3843876,3901057,3821324,3939873,4004561,4107495,4200470,4319181,4372543,4380881,4387670,4414279,4476071,4574918,4675504,4844676,4844063,4776866,4739015,4765632,4722356,4843543,5099865,5019416,4821594,4708802,4630915,4604406,4637292,4685933,4717055,4779389,4808268,4785982,4623370,4510948,4429607,4405923,4374548,4258894,4292386,4260329,4177798,4133373,3944786,3831667,3756385,3603393,3613343,3516347,3528057,3658193,3830926,3731821,3552617,3430607,3391943,3382702,3447798,3458213,3385036,3315947,3221578,3071618,2914670,2782756,2618410,2385479,2206912,2003709,1794627,1602545,1403848,1220311,1070715,932907,862855,534016,438623,359367,300528,209982,151017,108700,181199
2040,3601223,3633313,3662917,3689112,3712099,3732092,3749630,3765033,3778434,3789892,3799698,3808265,3815725,3822531,3829676,3838802,3850991,3866442,3925548,3848592,3968646,4034161,4137719,4232036,4352211,4406850,4415689,4422125,4447606,4507842,4604694,4702662,4869059,4866203,4796881,4756734,4780303,4734087,4852541,5106021,5023996,4825045,4711412,4632898,4605682,4637209,4683742,4712339,4771847,4798207,4773967,4610507,4497469,4415592,4391126,4358734,4242386,4274038,4240363,4156496,4110144,3920674,3805715,3728073,3573416,3580132,3481093,3489579,3614932,3781624,3679552,3498261,3372910,3329201,3313767,3370393,3372546,3292240,3215002,3112426,2954920,2790164,2649346,2477729,2242301,2059423,1855679,1648254,1458320,1264648,1087082,942195,809981,738210,449836,363174,292080,239429,163764,115131,188576
2041,3585311,3619120,3650806,3679072,3704274,3726560,3745932,3762935,3778029,3791154,3802209,3811618,3819798,3827359,3835177,3844690,3857279,3873694,3891464,3952867,3877529,3998404,4064621,4169533,4265347,4386773,4441896,4450392,4455729,4479709,4537990,4632234,4727552,4891469,4886373,4814774,4771653,4792178,4743540,4859521,5110700,5027231,4827638,4713450,4634346,4605947,4635471,4679442,4705363,4762251,4786514,4760824,4596954,4483515,4401142,4375642,4342094,4224769,4254453,4219089,4133653,4085170,3894458,3777443,3697387,3541085,3544613,3443651,3448920,3569068,3729140,3623649,3439977,3311050,3262029,3240036,3287593,3280788,3192823,3106872,2994958,2829457,2657217,2507817,2329789,2093266,1908078,1705117,1500704,1314394,1127288,957241,818673,693616,622181,372770,295445,232924,186926,124979,197898
